공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
철골공사,3DABG237,**CT  형강/0.408,SS400-  CT-103*101*6.5*11mm,MZ,,,,,,,,,
철골공사,3DABG238,**CT  형강/0.502,SS400-  CT-100*151*7*12mm,MZ,,,,,,,,,
철골공사,3DABG239,**CT  형강/0.6,SS400-  CT-100*200*8*12mm,MZ,,,,,,,,,
철골공사,3DABG240,**CT  형강/0.608,SS400-  CT-100*204*12*12mm,MZ,,,,,,,,,
철골공사,3DABG241,**CT  형강/0.612,SS400-  CT-104*202*10*16mm,MZ,,,,,,,,,
철골공사,3DABG242,**CT  형강/0.748,SS400-  CT-122*252*11*11mm,MZ,,,,,,,,,
철골공사,3DABG243,**CT  형강/0.746,SS400-  CT-124*249*8*13mm,MZ,,,,,,,,,
철골공사,3DABG244,**CT  형강/0.75,SS400-  CT-125*250*9*14mm,MZ,,,,,,,,,
철골공사,3DABG245,**CT  형강/0.76,SS400-  CT-125*255*14*14mm,MZ,,,,,,,,,
철골공사,3DABG246,**CT  형강/0.606,SS400-  CT-102*301*9*14mm,MZ,,,,,,,,,
철골공사,3DABG247,**CT  형강/0.496,SS400-  CT-124*124*5*8mm,MZ,,,,,,,,,
철골공사,3DABG248,**CT  형강/0.5,SS400-  CT-125*125*6*9mm,MZ,,,,,,,,,
철골공사,3DABG249,**CT  형강/0.506,SS400-  CT-127*126*7*11mm,MZ,,,,,,,,,
철골공사,3DABG250,**CT  형강/0.508,SS400-  CT-128*126*7*12mm,MZ,,,,,,,,,
철골공사,3DABG251,**CT  형강/0.588,SS400-  CT-120*174*6*9mm,MZ,,,,,,,,,
철골공사,3DABG252,**CT  형강/0.594,SS400-  CT-122*175*7*11mm,MZ,,,,,,,,,
철골공사,3DABG253,**CT  형강/0.6,SS400-  CT-124*176*8*13mm,MZ,,,,,,,,,
철골공사,3DABG254,**CT  형강/0.606,SS400-  CT-126*177*9*15mm,MZ,,,,,,,,,
철골공사,3DABG255,**CT  형강/0.756,SS400-  CT-127*251*10*16mm,MZ,,,,,,,,,
철골공사,3DABG256,**CT  형강/0.766,SS400-  CT-130*253*12*19mm,MZ,,,,,,,,,
철골공사,3DABG257,**CT  형강/0.896,SS400-  CT-149*299*9*14mm,MZ,,,,,,,,,
철골공사,3DABG258,**CT  형강/0.688,SS400-  CT-145*199*7*10mm,MZ,,,,,,,,,
철골공사,3DABG259,**CT  형강/0.694,SS400-  CT-147*200*8*12mm,MZ,,,,,,,,,
철골공사,3DABG260,**CT  형강/0.7,SS400-  CT-149*201*9*14mm,MZ,,,,,,,,,
철골공사,3DABG261,**CT  형강/0.898,SS400-  CT-147*302*12*12mm,MZ,,,,,,,,,
철골공사,3DABG262,**CT  형강/0.6,SS400-  CT-150*150*6.5*9mm,MZ,,,,,,,,,
철골공사,3DABG263,**CT  형강/0.604,SS400-  CT-150*150*6.5*11mm,MZ,,,,,,,,,
철골공사,3DABG264,**CT  형강/0.9,SS400-  CT-150*300*10*15mm,MZ,,,,,,,,,
